latitude,longitude,count
-37.8005,147.4598,1
-37.8003,174.87,2
-37.8,-73.3833,10
-37.8,-72.7167,22
-37.8,144.9,96
-37.8,144.9667,201
-37.8,144.9833,90
-37.8,145.0,47
-37.8,145.2333,20
-37.8,145.2833,72
-37.8,145.3167,19
-37.7984,144.9783,49
-37.7976,145.0538,13
-37.7975,144.8773,24
-37.7974,175.2604,8
-37.7961,175.3088,11
-37.7909,145.0939,14
-37.7904,144.9975,13
-37.7891,145.1749,13
-37.7886,144.9788,40
-37.7883,145.1237,39
-37.7876,145.1489,48
-37.7867,144.8548,17
-37.7852,175.2802,263
-37.7849,175.276,1
-37.7833,144.8333,22
-37.7833,144.8833,24
-37.7833,144.9167,29
-37.7833,144.9333,69
-37.7833,144.95,26
-37.7833,144.9667,113
-37.7833,145.3,24
-37.7833,145.3833,10
-37.7833,145.4333,2
-37.7832,145.0525,12
-37.7819,145.6143,6
-37.7806,145.5382,5
-37.7806,145.5683,1
-37.7804,145.0309,4
-37.7798,145.0176,27
-37.7775,176.3267,20
-37.7769,145.2146,7
-37.7759,144.8014,4
-37.775,145.4973,1
-37.7741,-67.7164,2
-37.7709,175.2985,50
-37.769,145.0431,30
-37.7667,143.0167,7
-37.7667,144.7833,19
-37.7667,144.8333,3
-37.7667,144.9167,123
-37.7667,144.9667,140
-37.7667,145.0,45
-37.7667,145.0833,13
-37.7667,145.1167,21
-37.7667,145.25,1
-37.7667,145.4667,3
-37.7667,145.6333,1
-37.7656,175.6599,1
